divisjon,klasse,rundeid,rundenavn,inne_ute,aspekt,avstand,skive,url
Recurve,Damer Senior,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer Senior,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer Senior,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer Senior,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer Senior,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer Senior,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer Senior,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer Senior,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer 50,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer 50,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer 50,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer 50,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer 50,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer 50,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer 50,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer 50,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U21,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U21,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U21,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U21,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U21,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U21,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U21,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U21,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U18,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U18,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U18,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer U18,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U18,3,Skandiarunde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U18,3,Skandiarunde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U18,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Herrer U18,3,Skandiarunde,Ute,Total,60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Jenter U16,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Jenter U16,3,Skandiarunde,Ute,30 m,30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Jenter U16,3,Skandiarunde,Ute,20 m,20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Jenter U16,3,Skandiarunde,Ute,Total,40/30/20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Gutter U16,3,Skandiarunde,Ute,40 m,40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Gutter U16,3,Skandiarunde,Ute,30 m,30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Gutter U16,3,Skandiarunde,Ute,20 m,20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Gutter U16,3,Skandiarunde,Ute,Total,40/30/20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Mix2 Senior,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Mix2 50+,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Mix2 U21,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Mix2 U18,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Mix2 U16,3,Skandiarunde,Ute,Total (lagskår),40/30/20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Damer Senior,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Herrer Senior,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Damer 50,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Herrer 50,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Damer U21,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Herrer U21,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Damer U18,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Herrer U18,3,Skandiarunde,Ute,Total (lagskår),60/50/40 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Jenter U16,3,Skandiarunde,Ute,Total (lagskår),40/30/20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Lag Gutter U16,3,Skandiarunde,Ute,Total (lagskår),40/30/20 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Recurve
Recurve,Damer Senior,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Herrer Senior,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Damer 50,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Herrer 50,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Damer U21,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Herrer U21,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Damer U18,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Herrer U18,4,Norgesrunde,Ute,Total,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Jenter U16,4,Norgesrunde,Ute,Total,30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Gutter U16,4,Norgesrunde,Ute,Total,30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Mix2 Senior,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Mix2 50+,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Mix2 U21,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Mix2 U18,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Mix2 U16,4,Norgesrunde,Ute,Total (lagskår),30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Damer Senior,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Herrer Senior,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Damer 50,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Herrer 50,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Damer U21,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Herrer U21,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Damer U18,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Herrer U18,4,Norgesrunde,Ute,Total (lagskår),50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Jenter U16,4,Norgesrunde,Ute,Total (lagskår),30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Lag Gutter U16,4,Norgesrunde,Ute,Total (lagskår),30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=4&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,90 m,90 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,70 m,70 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,30 m,30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,Total,90/70/60/50/30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer Senior,5,1440-runde,Ute,Total 90 m,90 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Herrer Senior,5,1440-runde,Ute,90 m,90 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Herrer Senior,5,1440-runde,Ute,70 m,70 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Herrer Senior,5,1440-runde,Ute,50 m,50 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Herrer Senior,5,1440-runde,Ute,30 m,30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Herrer Senior,5,1440-runde,Ute,Total,90/70/50/30 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
Recurve,Damer 50,5,1440-runde,Ute,60 m,60 m,122 cm (1–10),https://rekord.bueskyting.no/rekord.php?rundeid=5&divisjon=Recurve
