divisjon,klasse,rundeid,rundenavn,aspekt,score,navn,klubb,medlemmer,dato,url
Barebow,Damer 50,3,Skandiarunde,20m,283,Inger F. Edvardsen,Hvaler IL - Bueskyttere,,2019-06-26,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer 50,3,Skandiarunde,30m,258,Inger F. Edvardsen,Hvaler IL - Bueskyttere,,2017-06-04,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer 50,3,Skandiarunde,40m,243,Inger F. Edvardsen,Hvaler IL - Bueskyttere,,2017-06-04,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer 50,3,Skandiarunde,Total,783,Inger F. Edvardsen,Hvaler IL - Bueskyttere,,2017-06-04,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer Senior,3,Skandiarunde,20m,290,Kristina Ingvaldsen,Klepp Bueskyttere,,2024-06-13,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer Senior,3,Skandiarunde,30m,274,Kristina Ingvaldsen,Klepp Bueskyttere,,2024-06-13,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer Senior,3,Skandiarunde,40m,260,Kristina Ingvaldsen,Klepp Bueskyttere,,2024-06-13,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer Senior,3,Skandiarunde,Lag,2214,,Kongsvinger Bueskytterklubb,"Heidi Sørlie, Randi Filbakk, Thea Fuglerud",2025-10-10,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer Senior,3,Skandiarunde,Total,824,Kristina Ingvaldsen,Klepp Bueskyttere,,2024-06-13,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
Barebow,Damer U18,3,Skandiarunde,20m,262,Sara Sakura Syvertsen,Lillestrøm & Omegn Bueskyttere,,2022-05-31,https://rekord.bueskyting.no/rekord.php?rundeid=3&divisjon=Barebow
